Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C1, C2, C6, C15, C16","C0603","C14663"
"220n","C3","C0603","C21120"
"10n","C4","C0603","C100042"
"5.6n","C5","C0603","C170143"
"10u","C7, C8, C9, C10, C11, C12, C13, C14","C0805","C15850"
"10u","C17","C0603","C19702"
"1N4148WS","D1, D2, D3, D5, D9","SOD-323","C2128"
"LED-GREEN-0805","D4, D6, D7, D8","LED-0805","C2297"
"B5819W","D10, D11, D12, D13, D14","D_SOD-123","C8598"
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"AudioJack_THR","J10","Jack_3.5mm_PJ-3250-5A","C165947"
"100","R1","R0603","C22775"
"Jumper-Pad-Pad","R2, R4, R9, R10, R11, R12, R13","PAD-0805-PAD","C17477"
"100k","R5","R0603","C25803"
"2.7k","R6, R7","R0603","C13167"
"5.1k","R16, R17","R0603","C23186"
"4.7k","R18, R19, R134","R0603","C23162"
"1.6k","R20","R0603","C22847"
"750","R21","R0603","C23241"
"10k","R22","R0603","C25804"
"0","R23","R0603","C21189"
"Button_SPST","S1, S2","SMD-2_2.9x3.9x1.7","C115357"
"MCP6002-xSN","U3","SO8","C7377"
"STM32F429IGT6 ","U105","LQFP176","C54328"
"MWSA0503S-100MT","L421","SMD-5.2x5.4x2.8","C408412"
"LBC3225T2R2MR","L420","1210","C223413"
"AP2331W-7","U103, U480","SOT-23","C460346"
"LMR14030","U420","SOP8","C182078"
"LP2981-33DBVR","U410","SOT-23-5","C129997"
"ZXMS6005SGTA","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C174042"
"nSMD050-24V","F410, F300","F1206","C70076"
"74LVC4245APW,118","U460","TSSOP-24","C6091"
"620","R133","R0603","C23220"
