Ref,Val,Package,PosX,PosY,Rot,Side
"G4","DISCLAIMER","Off_Road_Disclaimer",97.550000,8.650000,0.000000,bottom
"J6","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",136.420000,53.875000,-90.000000,top
"J7","Conn_01x05_Male","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",35.300000,18.375000,0.000000,top
"J8","USB_B_Mini","USB-MINI-B-VERTICAL",53.175000,20.575000,90.000000,top
"M1","Module-power_12and5V-0.3","power_12and5V",32.800000,33.099999,0.000000,top
"M3","Module-vr-discrete-0.5","vr-discrete",86.650000,85.450000,-90.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",98.525000,85.350000,-90.000000,top
"M5","Module-wbo-0.5","wbo",138.725000,58.150000,90.000000,top
"M6","Module:mega-mcu100/0.3","mega-mcu100",91.200010,53.674990,180.000000,top
"M7","Module-can-0.1","can",35.625002,24.500000,0.000000,top
"P1","368255-2","368255-2",149.102000,41.268000,180.000000,top
"P1","Pad","PAD-TH",32.800000,25.875000,90.000000,top
"P2","Pad","PAD-TH",32.800000,28.775000,90.000000,top
"Q7","ISL9V3040D3ST","TO-252-2",79.800000,80.375000,90.000000,top
"Q8","ISL9V3040D3ST","TO-252-2",72.800000,80.375000,90.000000,top
"Q9","ISL9V3040D3ST","TO-252-2",65.800000,80.375000,90.000000,top
"Q10","ISL9V3040D3ST","TO-252-2",58.800000,80.375000,90.000000,top
"Q11","ISL9V3040D3ST","TO-252-2",51.800000,80.375000,90.000000,top
"Q12","ISL9V3040D3ST","TO-252-2",44.800000,80.375000,90.000000,top
"U1","TLE9201SG","Infineon_PG-DSO-12-11",116.500000,80.875000,0.000000,top
"U2","TLE9201SG","Infineon_PG-DSO-12-11",116.500000,69.875000,0.000000,top
"U3","MPX4/MPXH6400_MAP","MPX-4_MAP",111.490000,34.932500,-90.000000,top
"U4","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",68.895000,64.350000,90.000000,top
"U5","JDY-33","JDY-33",130.300000,33.375000,180.000000,top
"U6","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",62.800000,64.400000,90.000000,top
"U7","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",80.705000,64.282298,90.000000,top
"U8","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",74.895000,64.240000,90.000000,top
"U9","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",56.800000,64.400000,90.000000,top
"U10","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",50.895000,64.400000,90.000000,top
"U11","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",44.895000,64.400000,90.000000,top
